Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
TERT,Telomerase Reverse Transcriptase,Protein Coding,O14746,64,GC05M001253,36.13952637,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,62,GC14P061695,35.57974243,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
ATR,ATR Checkpoint Kinase,Protein Coding,Q13535,66,GC03M142449,35.51368713,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",Protein Coding,P18074,60,GC19M045349,34.5994072,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2
KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P10721,66,GC04P054657,34.54215622,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT
MET,"MET Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,P08581,67,GC07P116672,34.36046982,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET
ERBB4,Erb-B2 Receptor Tyrosine Kinase 4,Protein Coding,Q15303,67,GC02M211375,34.11138535,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4
EP300,EP300 Lysine Acetyltransferase,Protein Coding,Q09472,65,GC22P097487,33.81797409,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,P21912,61,GC01M036334,33.5353508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB
SMARCA4,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit ATPase 4,Protein Coding,P51532,63,GC19P161376,33.37837601,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4
PIK3R1,Phosphoinositide-3-Kinase Regulatory Subunit 1,Protein Coding,P27986,65,GC05P068215,33.12214661,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1
DICER1,"Dicer 1, Ribonuclease III",Protein Coding,Q9UPY3,61,GC14M095086,33.12031937,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,P11362,68,GC08M038400,32.51149368,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1
SDHA,Succinate Dehydrogenase Complex Flavoprotein Subunit A,Protein Coding,P31040,61,GC05P000254,32.43504333,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHA
CHEK1,Checkpoint Kinase 1,Protein Coding,O14757,66,GC11P125625,32.26845169,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK1
TGFBR2,Transforming Growth Factor Beta Receptor 2,Protein Coding,P37173,65,GC03P030610,32.24084473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2
MAP3K1,Mitogen-Activated Protein Kinase Kinase Kinase 1,Protein Coding,Q13233,63,GC05P056815,31.86029625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K1
ABCG2,ATP Binding Cassette Subfamily G Member 2 (JR Blood Group),Protein Coding,Q9UNQ0,62,GC04M088090,31.83264923,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCG2
TSC1,TSC Complex Subunit 1,Protein Coding,Q92574,61,GC09M132891,31.66843033,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1
FANCA,FA Complementation Group A,Protein Coding,O15360,62,GC16M090325,31.64533615,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCA
CCNE1,Cyclin E1,Protein Coding,P24864,61,GC19P029811,31.49406052,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNE1
STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,P42224,65,GC02M190908,31.19845772,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
PTCH1,Patched 1,Protein Coding,Q13635,64,GC09M095442,30.91120529,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCH1
NCOA3,Nuclear Receptor Coactivator 3,Protein Coding,Q9Y6Q9,61,GC20P047501,30.36725235,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOA3
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,P01112,65,GC11M015781,30.36166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,P78527,63,GC08M047773,29.29686165,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKDC
